States,Deaths,Confirmed
New York,8627,174489
New Jersey,1932,54588
Michigan,1276,22434
Pennsylvania,503,21719
California,599,21408
Massachusetts,599,20974
Louisiana,755,19253
Florida,438,18494
Illinois,597,17903
Texas,248,12398
Georgia,425,11859
Connecticut,448,10538
Washington,487,10188
Maryland,206,7694
Indiana,330,7435
Colorado,250,6513
Ohio,231,5878
Virginia,130,5077
Tennessee,98,4891
North Carolina,89,4354
Missouri,105,3957
Arizona,97,3112
Wisconsin,128,3068
South Carolina,72,3067
Alabama,81,3032
Mississippi,93,2642
Nevada,102,2604
Utah,17,2103
Rhode Island,49,2015
Oklahoma,88,1794
District of Columbia,47,1778
Kentucky,90,1693
Iowa,34,1510
Idaho,25,1396
Oregon,48,1371
Minnesota,57,1336
Delaware,32,1326
Kansas,50,1238
Arkansas,24,1226
New Mexico,19,1091
New Hampshire,22,885
Vermont,25,711
Nebraska,17,648
Maine,19,616
West Virginia,5,577
South Dakota,6,536
Hawaii,8,465
Montana,6,377
North Dakota,7,293
Wyoming,0,253
Alaska,7,246
