X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,County,FIPS,Combined_Key,Incident_Rate,People_Tested
-118.2282411,34.30828379,1422,California,US,2020-04-11T16:46:35.000Z,34.30828379,-118.2282411,8453,0,244,0,Los Angeles,6037,"Los Angeles, California, US",,
-116.7365326,33.03484597,2093,California,US,2020-04-11T16:46:35.000Z,33.03484597,-116.7365326,1693,0,44,0,San Diego,6073,"San Diego, California, US",,
-121.6970462,37.23104908,2110,California,US,2020-04-11T16:46:35.000Z,37.23104908,-121.6970462,1484,0,50,0,Santa Clara,6085,"Santa Clara, California, US",,
-115.9933578,33.74314981,2038,California,US,2020-04-11T16:46:35.000Z,33.74314981,-115.9933578,1350,0,39,0,Riverside,6065,"Riverside, California, US",,
-117.7645998,33.70147516,1792,California,US,2020-04-11T16:46:35.000Z,33.70147516,-117.7645998,1138,0,17,0,Orange,6059,"Orange, California, US",,
-116.1774685,34.84060306,2092,California,US,2020-04-11T16:46:35.000Z,34.84060306,-116.1774685,810,0,25,0,San Bernardino,6071,"San Bernardino, California, US",,
-122.4385672,37.75215114,2094,California,US,2020-04-11T16:46:35.000Z,37.75215114,-122.4385672,797,0,13,0,San Francisco,6075,"San Francisco, California, US",,
-121.8929271,37.64629437,23,California,US,2020-04-11T16:46:35.000Z,37.64629437,-121.8929271,768,0,20,0,Alameda,6001,"Alameda, California, US",,
-121.3425374,38.45106826,2077,California,US,2020-04-11T16:46:35.000Z,38.45106826,-121.3425374,653,0,24,0,Sacramento,6067,"Sacramento, California, US",,
-122.3275546,37.4228808,2101,California,US,2020-04-11T16:46:35.000Z,37.4228808,-122.3275546,638,0,21,0,San Mateo,6081,"San Mateo, California, US",,
-121.9289527,37.91923498,532,California,US,2020-04-11T16:46:35.000Z,37.91923498,-121.9289527,511,0,9,0,Contra Costa,6013,"Contra Costa, California, US",,
-118.7277796,35.34329425,1241,California,US,2020-04-11T16:46:35.000Z,35.34329425,-118.7277796,371,0,3,0,Kern,6029,"Kern, California, US",,
-119.0910613,34.44465746,2459,California,US,2020-04-11T16:46:35.000Z,34.44465746,-119.0910613,298,0,10,0,Ventura,6111,"Ventura, California, US",,
-120.0188492,34.65329488,2109,California,US,2020-04-11T16:46:35.000Z,34.65329488,-120.0188492,260,0,2,0,Santa Barbara,6083,"Santa Barbara, California, US",,
-121.2730061,37.93433732,2096,California,US,2020-04-11T16:46:35.000Z,37.93433732,-121.2730061,257,0,14,0,San Joaquin,6077,"San Joaquin, California, US",,
-118.8020203,36.22026558,2364,California,US,2020-04-11T16:46:35.000Z,36.22026558,-118.8020203,203,0,11,0,Tulare,6107,"Tulare, California, US",,
-119.6466953,36.75733899,836,California,US,2020-04-11T16:46:35.000Z,36.75733899,-119.6466953,191,0,5,0,Fresno,6019,"Fresno, California, US",,
-122.7210631,38.07122463,1490,California,US,2020-04-11T16:46:35.000Z,38.07122463,-122.7210631,154,0,10,0,Marin,6041,"Marin, California, US",,
-122.8862506,38.52746429,2201,California,US,2020-04-11T16:46:35.000Z,38.52746429,-122.8862506,145,0,2,0,Sonoma,6097,"Sonoma, California, US",,
-120.7240569,39.06167234,1918,California,US,2020-04-11T16:46:35.000Z,39.06167234,-120.7240569,123,0,4,0,Placer,6061,"Placer, California, US",,
-121.9357113,38.26827353,2196,California,US,2020-04-11T16:46:35.000Z,38.26827353,-121.9357113,121,0,2,0,Solano,6095,"Solano, California, US",,
-120.9970722,37.55862499,2239,California,US,2020-04-11T16:46:35.000Z,37.55862499,-120.9970722,116,0,1,0,Stanislaus,6099,"Stanislaus, California, US",,
-120.4039028,35.38822029,2100,California,US,2020-04-11T16:46:35.000Z,35.38822029,-120.4039028,107,0,1,0,San Luis Obispo,6079,"San Luis Obispo, California, US",,
-122.0066524,37.05580291,2112,California,US,2020-04-11T16:46:35.000Z,37.05580291,-122.0066524,80,0,1,0,Santa Cruz,6087,"Santa Cruz, California, US",,
-115.3669042,33.0393082,1105,California,US,2020-04-11T16:46:35.000Z,33.0393082,-115.3669042,79,0,3,0,Imperial,6025,"Imperial, California, US",,
-121.2413397,36.21862405,1650,California,US,2020-04-11T16:46:35.000Z,36.21862405,-121.2413397,79,0,3,0,Monterey,6053,"Monterey, California, US",,
-121.9018288,38.68278902,2665,California,US,2020-04-11T16:46:35.000Z,38.68278902,-121.9018288,75,0,3,0,Yolo,6113,"Yolo, California, US",,
-120.7209035,37.18922369,1584,California,US,2020-04-11T16:46:35.000Z,37.18922369,-120.7209035,59,0,3,0,Merced,6047,"Merced, California, US",,
-123.876044,40.69923009,1090,California,US,2020-04-11T16:46:35.000Z,40.69923009,-123.876044,50,0,0,0,Humboldt,6023,"Humboldt, California, US",,
-121.6945899,39.03417539,2295,California,US,2020-04-11T16:46:35.000Z,39.03417539,-121.6945899,37,0,3,0,Sutter,6101,"Sutter, California, US",,
-121.069975,36.60308176,2091,California,US,2020-04-11T16:46:35.000Z,36.60308176,-121.069975,35,0,2,0,San Benito,6069,"San Benito, California, US",,
-120.7627281,39.30394768,1718,California,US,2020-04-11T16:46:35.000Z,39.30394768,-120.7627281,34,0,1,0,Nevada,6057,"Nevada, California, US",,
-120.5233166,38.77965956,725,California,US,2020-04-11T16:46:35.000Z,38.77965956,-120.5233166,32,0,0,0,El Dorado,6017,"El Dorado, California, US",,
-119.7665589,37.21513971,1456,California,US,2020-04-11T16:46:35.000Z,37.21513971,-119.7665589,32,0,2,0,Madera,6039,"Madera, California, US",,
-122.332839,38.50735751,1704,California,US,2020-04-11T16:46:35.000Z,38.50735751,-122.332839,32,0,2,0,Napa,6055,"Napa, California, US",,
-122.0396884,40.76391419,2161,California,US,2020-04-11T16:46:35.000Z,40.76391419,-122.0396884,24,0,3,0,Shasta,6089,"Shasta, California, US",,
-118.8872409,37.93899289,1630,California,US,2020-04-11T16:46:35.000Z,37.93899289,-118.8872409,21,0,1,0,Mono,6051,"Mono, California, US",,
-121.3535644,39.26255932,2672,California,US,2020-04-11T16:46:35.000Z,39.26255932,-121.3535644,15,0,1,0,Yuba,6115,"Yuba, California, US",,
-121.6005252,39.66727762,275,California,US,2020-04-11T16:46:35.000Z,39.66727762,-121.6005252,14,0,0,0,Butte,6007,"Butte, California, US",,
-117.4111978,36.51112084,1110,California,US,2020-04-11T16:46:35.000Z,36.51112084,-117.4111978,12,0,0,0,Inyo,6027,"Inyo, California, US",,
-119.8159973,36.07409056,1252,California,US,2020-04-11T16:46:35.000Z,36.07409056,-119.8159973,9,0,0,0,Kings,6031,"Kings, California, US",,
-120.552913,38.20537103,283,California,US,2020-04-11T16:46:35.000Z,38.20537103,-120.552913,8,0,0,0,Calaveras,6009,"Calaveras, California, US",,
-120.65696,38.44583082,44,California,US,2020-04-11T16:46:35.000Z,38.44583082,-120.65696,7,0,0,0,Amador,6005,"Amador, California, US",,
-122.5407434,41.59198861,2185,California,US,2020-04-11T16:46:35.000Z,41.59198861,-122.5407434,5,0,0,0,Siskiyou,6093,"Siskiyou, California, US",,
-122.7536244,39.10124298,1289,California,US,2020-04-11T16:46:35.000Z,39.10124298,-122.7536244,4,0,0,0,Lake,6033,"Lake, California, US",,
-123.3911313,39.4381191,1580,California,US,2020-04-11T16:46:35.000Z,39.4381191,-123.3911313,4,0,0,0,Mendocino,6045,"Mendocino, California, US",,
-120.8395236,40.00355989,1924,California,US,2020-04-11T16:46:35.000Z,40.00355989,-120.8395236,4,0,0,0,Plumas,6063,"Plumas, California, US",,
,,2385,California,US,2020-04-11T16:46:35.000Z,,,4,0,0,0,Unassigned,90006,"Unassigned, California, US",,
-122.2331726,39.17881957,525,California,US,2020-04-11T16:46:35.000Z,39.17881957,-122.2331726,3,0,0,0,Colusa,6011,"Colusa, California, US",,
-122.3938452,39.59875897,881,California,US,2020-04-11T16:46:35.000Z,39.59875897,-122.3938452,3,0,0,0,Glenn,6021,"Glenn, California, US",,
-119.8223594,38.59678594,43,California,US,2020-04-11T16:46:35.000Z,38.59678594,-119.8223594,2,0,0,0,Alpine,6003,"Alpine, California, US",,
-123.8974063,41.74228275,645,California,US,2020-04-11T16:46:35.000Z,41.74228275,-123.8974063,2,0,0,0,Del Norte,6015,"Del Norte, California, US",,
-122.2370171,40.12570935,2321,California,US,2020-04-11T16:46:35.000Z,40.12570935,-122.2370171,1,0,0,0,Tehama,6103,"Tehama, California, US",,
-119.9525093,38.02644018,2367,California,US,2020-04-11T16:46:35.000Z,38.02644018,-119.9525093,1,0,0,0,Tuolumne,6109,"Tuolumne, California, US",,
